word,count
laraifon,1
tefte,1
chandifes,1
eftimatic,1
trencher,1
biéil,1
mune,1
fontencheries,1
poiffon,1
septentrion,1
mettrele,1
republids,1
voireiufques,1
voudroit,1
ie,1
fecond,1
puiſſance,1
neces,1
preíque,1
leiochin,1
iugemet,1
foibles,1
i,1
futonds,1
parlebillon,1
fumee,1
ual,1
pourtraitz,1
coruees,1
difes,1
ſain,1
íta,1
caus,1
turufe,1
alice,1
entroificfme,1
diminuee,1
flameng,1
auoyet,1
quien,1
lesgrands,1
quelqu,1
boufons,1
courtizás,1
accidentale,1
oftät,1
comelon,1
prefence,1
valoyét,1
país,1
larequefte,1
putez,1
aifee,1
sileftoit,1
deterres,1
tres,1
gét,1
blévin,1
hard,1
auions,1
decuyure,1
aeftéil,1
puiflan,1
payfans,1
trouue,1
hiftoire,1
—,1
certa,1
stre,1
fons,1
plaiſir,1
conſume,1
arreft,1
tanto,1
croyre,1
commeiladuint,1
neant,1
quifonta,1
fafran,1
affeurc,1
alarbes,1
quaráte,1
affoir,1
athenceau,1
guyéne,1
eftime,1
foix,1
ehemet,1
cefoit,1
enuyi,1
fçauez,1
caufele,1
aduient,1
get,1
eur,1
vot,1
fimplicité,1
flaterie,1
cizaille,1
vniones,1
raifon,1
falines,1
celt,1
faleures,1
tenoit,1
quelerofion,1
iugee,1
fure,1
difoit,1
pieces,1
cés,1
auroic,1
bufetz,1
contracts,1
difons,1
extraiët,1
vignerôs,1
gneurs,1
deguarend,1
pretieufes,1
lequelil,1
quelqueedict,1
beguins,1
auant,1
remedier,1
lefol,1
nourice,1
republiqueen,1
vé,1
cores,1
atgétfut,1
friäd,1
riuieres,1
fauffaires,1
chacu,1
paflereaux,1
quin,1
eftrangerne,1
didi,1
depouil,1
alexandrie,1
cotre,1
matieres,1
jeuát,1
b,1
veritécft,1
grauees,1
richeffes,1
lyon,1
artifans,1
fi,1
eftrá,1
hauffer,1
etfionn,1
dechet,1
da,1
gne,1
afoiblit,1
auoyent,1
ul,1
aubeine,1
viuét,1
lepis,1
eutbien,1
chäpaigne,1
és,1
donáce,1
zant,1
feigneurie,1
euure,1
fcau,1
raport,1
vneautreoccafion,1
rand,1
reuenu,1
apian,1
tourno,1
pastoufiours,1
mefinefaute,1
ane,1
appetit,1
minieres,1
habitàs,1
afaire,1
commeapéféledo,1
fçauroit,1
vnziefme,1
roys,1
lurifconfultes,1
cueur,1
anciésla,1
receu,1
neurs,1
terile,1
merueilleux,1
midy,1
nozpruneaux,1
faizans,1
dequoynourir,1
attirele,1
fübiet,1
viues,1
entédu,1
roturiere,1
efcarlate,1
urages,1
budéa,1
foyet,1
peuftrien,1
meftail,1
george,1
ayt,1
affcu,1
re,1
paftel,1
ruinoyent,1
fusle,1
cheres,1
medales,1
pam,1
eftà,1
fontencores,1
debiens,1
fanté,1
efcript,1
card,1
iouir,1
anglois,1
lo,1
vifqueux,1
