document,term,tfidf
Lettre_corrected,bourbon,0.17605496932910422
Lettre_corrected,monsieur,0.1526140748170176
Lettre_corrected,aisné,0.13839210626823087
Lettre_corrected,fils,0.11970948977818474
Lettre_corrected,bien,0.10497480195386591
Lettre_corrected,messieurs,0.10379407970117314
Lettre_corrected,loys,0.0828942189478932
Lettre_corrected,oncle,0.08265914425948433
Lettre_corrected,royaume,0.08218899488266662
Lettre_corrected,charles,0.07892544269899629
Lettre_corrected,cardinal,0.07792393243462403
Lettre_corrected,iamais,0.07675527517973363
Lettre_corrected,france,0.07508617714537615
Lettre_corrected,feu,0.07348236136770614
Lettre_corrected,foit,0.07035495941606267
Lettre_corrected,couronne,0.06985640178591962
Lettre_corrected,anthonio,0.06919605313411543
Lettre_corrected,eflát,0.06919605313411543
Lettre_corrected,preuoy,0.06919605313411543
Lettre_corrected,roine,0.06919605313411543
Lettre_corrected,loy,0.06873249017123746
Lettre_corrected,eftat,0.06635829784486755
Lettre_corrected,cela,0.06579023586834311
Lettre_corrected,dont,0.06579023586834311
Lettre_corrected,cefte,0.06544422706352497
Lettre_corrected,ville,0.06544422706352497
Lettre_corrected,catholique,0.06199435819461324
Recueil_corrected,estats,0.36872065624787165
Recueil_corrected,roy,0.31702952750544905
Recueil_corrected,deputez,0.30567048003753183
Recueil_corrected,estat,0.24612545535576938
Recueil_corrected,tiers,0.21110545212098006
Recueil_corrected,assemblee,0.17058964230107534
Recueil_corrected,noblesse,0.1407868910594695
Recueil_corrected,president,0.14063473667797985
Recueil_corrected,france,0.12937838834059023
Recueil_corrected,faire,0.1055067509518903
Recueil_corrected,bodin,0.10189016001251061
Recueil_corrected,cayers,0.09905205036836633
Recueil_corrected,lesdits,0.09905205036836633
Recueil_corrected,cayer,0.08804626699410341
Recueil_corrected,deputé,0.08350187490255052
Recueil_corrected,dé,0.07470235992944488
Recueil_corrected,paix,0.07415772742826966
Recueil_corrected,depute,0.071537591932709
Recueil_corrected,iour,0.06801652454922741
Recueil_corrected,royaume,0.06754041886822827
Recueil_corrected,religion,0.06536169567893059
Recueil_corrected,domaine,0.0619698581929196
Recueil_corrected,clerge,0.060531808558446094
Recueil_corrected,depurez,0.060531808558446094
Recueil_corrected,trois,0.05929645729932645
Recueil_corrected,sieur,0.05653369554918586
Recueil_corrected,auis,0.05587524903911873
Recueil_corrected,bien,0.05509835599741192
Recueil_corrected,nauarre,0.04957588655433568
Recueil_corrected,quelques,0.048419767391665015
République III_corrected,magistrats,0.39143189719540755
République III_corrected,puissance,0.2402660227723017
République III_corrected,magistrat,0.2397355709246004
République III_corrected,senat,0.23213396315214957
République III_corrected,bien,0.15958646276663038
République III_corrected,college,0.14554192204048041
République III_corrected,estat,0.13928037789128975
République III_corrected,faire,0.123379498980408
République III_corrected,republique,0.1186031419142605
République III_corrected,prince,0.11357450568395173
République III_corrected,peuple,0.10923565365844219
République III_corrected,colleges,0.1061096912066335
République III_corrected,estats,0.10294223773777876
République III_corrected,roy,0.09405926488824871
République III_corrected,loy,0.08847158578597653
République III_corrected,corps,0.07925702914635481
République III_corrected,sujets,0.07727840030467273
République III_corrected,doibt,0.07699590904529399
République III_corrected,collegues,0.07692290125888618
République III_corrected,charge,0.07528524035139682
République III_corrected,lettres,0.07461164236374618
République III_corrected,commander,0.07417666676396181
République III_corrected,foit,0.07353744972342198
République III_corrected,non,0.07190328417401261
République III_corrected,office,0.07098810828886158
République III_corrected,tribuns,0.06894091044022757
République III_corrected,auoient,0.06743333342178347
République III_corrected,loix,0.06685606857456328
République III_corrected,celte,0.06672882179152989
République III_corrected,iuftice,0.06458918294175044
République II_corrected,estat,0.3743667920444554
République II_corrected,roy,0.20837445106008873
République II_corrected,bien,0.19244137225672148
République II_corrected,sujets,0.1732633056799837
République II_corrected,puissance,0.17126109549034738
République II_corrected,republique,0.17098922324183055
République II_corrected,estats,0.15780087109870314
République II_corrected,populaire,0.15780087109870314
République II_corrected,tyran,0.15564330849218871
République II_corrected,peuple,0.15216294550531465
République II_corrected,empire,0.13251664801241866
République II_corrected,souveraineté,0.12822296893962878
République II_corrected,monarchie,0.12181119874285855
République II_corrected,roys,0.1175550909787585
République II_corrected,prince,0.11712084580766818
République II_corrected,senat,0.10471798378865882
République II_corrected,empereur,0.10317202611428379
République II_corrected,princes,0.09604759853550963
République II_corrected,republiques,0.0943090756094087
République II_corrected,magistrats,0.09103665213694058
République II_corrected,faire,0.08855478585457838
République II_corrected,ariftocratique,0.08756690561730747
République II_corrected,citoyens,0.08443951613097506
République II_corrected,foit,0.07998496786865145
République II_corrected,mort,0.07144988613169075
République II_corrected,feigneurs,0.07068463905734472
République II_corrected,souverain,0.07068463905734472
République II_corrected,trois,0.07012072175254601
République II_corrected,biens,0.06402283701319582
République II_corrected,monarque,0.06367403570649424
République IV_corrected,estat,0.3319500632527901
République IV_corrected,sujets,0.20724253566986597
République IV_corrected,bien,0.20370650301466678
République IV_corrected,roy,0.1933410380919043
République IV_corrected,republique,0.18149291223191538
République IV_corrected,peuple,0.14293691598087963
République IV_corrected,republiques,0.13954528553651419
République IV_corrected,estats,0.12389344947315972
République IV_corrected,magistrats,0.12299760247073346
République IV_corrected,populaire,0.11912831680111512
République IV_corrected,puissance,0.10878814757818221
République IV_corrected,prince,0.10079631629356597
République IV_corrected,faire,0.09751838730840937
République IV_corrected,tousjours,0.09151058874759636
République IV_corrected,monarchie,0.0889491432114993
République IV_corrected,changemens,0.08612761293891423
République IV_corrected,an,0.0849330403269997
République IV_corrected,foit,0.08276770687520459
République IV_corrected,peu,0.08131141927056026
République IV_corrected,plusieurs,0.07472117414179877
République IV_corrected,princes,0.07378715946502629
République IV_corrected,iufques,0.07331062428225238
République IV_corrected,ville,0.07150213563018261
République IV_corrected,entre,0.0701845934756415
République IV_corrected,guerre,0.06936774352181896
République IV_corrected,grand,0.06883650868828896
République IV_corrected,faut,0.06761686444604485
République IV_corrected,changement,0.06667660658017618
République IV_corrected,cens,0.06632312367290634
République IV_corrected,quand,0.06555857970313235
République I_corrected,roy,0.3027386374728634
République I_corrected,sujets,0.20010497168712257
République I_corrected,puissance,0.18957575264223886
République I_corrected,bien,0.17577167220528467
République I_corrected,empereur,0.1471525387398435
République I_corrected,republique,0.1441233735622093
République I_corrected,prince,0.1424389401298702
République I_corrected,sujet,0.1281922474870629
République I_corrected,souverain,0.12449965408748394
République I_corrected,pape,0.1210086307833262
République I_corrected,france,0.11613210633009809
République I_corrected,princes,0.11034938884984143
République I_corrected,droit,0.10630517041031845
République I_corrected,peuple,0.10482768402604326
République I_corrected,empire,0.1024034496363066
République I_corrected,faire,0.10036622827656336
République I_corrected,tousjours,0.09989104285753883
République I_corrected,souveraineté,0.09656134142895419
République I_corrected,estats,0.09628589734766616
République I_corrected,traité,0.09036177188387984
République I_corrected,roys,0.08950820042284577
République I_corrected,romains,0.08845693223093187
République I_corrected,alliance,0.0876821376193952
République I_corrected,hommage,0.0876821376193952
République I_corrected,enfans,0.08755216057141565
République I_corrected,efclaues,0.0874433149381866
République I_corrected,loy,0.08723956919542437
République I_corrected,an,0.08516411752697663
République I_corrected,charle,0.08253076915514242
République I_corrected,estat,0.07990276307107179
République VI_corrected,estat,0.27199478522472437
République VI_corrected,roy,0.2447580344415094
République VI_corrected,bien,0.17734610476650142
République VI_corrected,republique,0.1601422675684506
République VI_corrected,sujets,0.13935230345296665
République VI_corrected,peuple,0.1371079129287238
République VI_corrected,deniers,0.13136936725100742
République VI_corrected,tousjours,0.12965701722873346
République VI_corrected,populaire,0.11892384824828041
République VI_corrected,royaume,0.11570949905610543
République VI_corrected,mil,0.11556521222561854
République VI_corrected,argent,0.10598601174046632
République VI_corrected,faire,0.10130821287418254
République VI_corrected,liures,0.09153670656601301
République VI_corrected,cens,0.09060841806583639
République VI_corrected,estats,0.08850146846383658
République VI_corrected,foit,0.08846632673520165
République VI_corrected,princes,0.08700700892106812
République VI_corrected,finances,0.0829701266848468
République VI_corrected,trois,0.08250413043307232
République VI_corrected,entre,0.08122153537625486
République VI_corrected,an,0.08094744872678794
